method,block_id,interval_start_seconds,interval_stop_seconds,healthy_blocks,fault_blocks,block_matched_auroc
target_ledoit,0,12.0,15.0,4,48,0.38541666666666663
target_ledoit,1,15.0,18.0,4,48,0.921875
target_ledoit,2,18.0,21.0,4,48,1.0
target_ledoit,3,21.0,24.0,4,48,1.0
target_ledoit,4,24.0,27.0,4,48,1.0
target_ledoit,5,27.0,30.0,4,48,1.0
target_ledoit,6,30.0,33.0,4,48,1.0
target_ledoit,7,33.0,36.0,4,48,1.0
target_sample_covariance,0,12.0,15.0,4,48,0.84375
target_sample_covariance,1,15.0,18.0,4,48,0.90625
target_sample_covariance,2,18.0,21.0,4,48,0.9583333333333333
target_sample_covariance,3,21.0,24.0,4,48,0.9895833333333333
target_sample_covariance,4,24.0,27.0,4,48,1.0
target_sample_covariance,5,27.0,30.0,4,48,1.0
target_sample_covariance,6,30.0,33.0,4,48,1.0
target_sample_covariance,7,33.0,36.0,4,48,1.0
source_covariance,0,12.0,15.0,4,48,0.703125
source_covariance,1,15.0,18.0,4,48,0.8958333333333333
source_covariance,2,18.0,21.0,4,48,0.9479166666666667
source_covariance,3,21.0,24.0,4,48,0.9947916666666666
source_covariance,4,24.0,27.0,4,48,1.0
source_covariance,5,27.0,30.0,4,48,1.0
source_covariance,6,30.0,33.0,4,48,1.0
source_covariance,7,33.0,36.0,4,48,1.0
entity_balanced_covariance,0,12.0,15.0,4,48,0.5885416666666667
entity_balanced_covariance,1,15.0,18.0,4,48,0.9166666666666666
entity_balanced_covariance,2,18.0,21.0,4,48,1.0
entity_balanced_covariance,3,21.0,24.0,4,48,1.0
entity_balanced_covariance,4,24.0,27.0,4,48,1.0
entity_balanced_covariance,5,27.0,30.0,4,48,1.0
entity_balanced_covariance,6,30.0,33.0,4,48,1.0
entity_balanced_covariance,7,33.0,36.0,4,48,1.0
log_euclidean_entity_covariance,0,12.0,15.0,4,48,0.5260416666666666
log_euclidean_entity_covariance,1,15.0,18.0,4,48,0.453125
log_euclidean_entity_covariance,2,18.0,21.0,4,48,0.734375
log_euclidean_entity_covariance,3,21.0,24.0,4,48,0.8541666666666666
log_euclidean_entity_covariance,4,24.0,27.0,4,48,0.9114583333333334
log_euclidean_entity_covariance,5,27.0,30.0,4,48,0.9583333333333333
log_euclidean_entity_covariance,6,30.0,33.0,4,48,1.0
log_euclidean_entity_covariance,7,33.0,36.0,4,48,1.0
target_ocsvm_rbf,0,12.0,15.0,4,48,0.4635416666666667
target_ocsvm_rbf,1,15.0,18.0,4,48,0.8229166666666666
target_ocsvm_rbf,2,18.0,21.0,4,48,0.953125
target_ocsvm_rbf,3,21.0,24.0,4,48,0.9895833333333333
target_ocsvm_rbf,4,24.0,27.0,4,48,1.0
target_ocsvm_rbf,5,27.0,30.0,4,48,1.0
target_ocsvm_rbf,6,30.0,33.0,4,48,1.0
target_ocsvm_rbf,7,33.0,36.0,4,48,0.8906249999999999
source_target_ocsvm_rbf,0,12.0,15.0,4,48,0.46354166666666663
source_target_ocsvm_rbf,1,15.0,18.0,4,48,0.8020833333333334
source_target_ocsvm_rbf,2,18.0,21.0,4,48,0.9479166666666666
source_target_ocsvm_rbf,3,21.0,24.0,4,48,0.9895833333333333
source_target_ocsvm_rbf,4,24.0,27.0,4,48,0.9947916666666666
source_target_ocsvm_rbf,5,27.0,30.0,4,48,1.0
source_target_ocsvm_rbf,6,30.0,33.0,4,48,1.0
source_target_ocsvm_rbf,7,33.0,36.0,4,48,0.9166666666666666
target_isolation_forest,0,12.0,15.0,4,48,0.453125
target_isolation_forest,1,15.0,18.0,4,48,0.7239583333333334
target_isolation_forest,2,18.0,21.0,4,48,0.9791666666666666
target_isolation_forest,3,21.0,24.0,4,48,0.9635416666666666
target_isolation_forest,4,24.0,27.0,4,48,0.9739583333333333
target_isolation_forest,5,27.0,30.0,4,48,0.984375
target_isolation_forest,6,30.0,33.0,4,48,1.0
target_isolation_forest,7,33.0,36.0,4,48,1.0
source_target_isolation_forest,0,12.0,15.0,4,48,0.5052083333333333
source_target_isolation_forest,1,15.0,18.0,4,48,0.8072916666666666
source_target_isolation_forest,2,18.0,21.0,4,48,0.8854166666666666
source_target_isolation_forest,3,21.0,24.0,4,48,0.9895833333333333
source_target_isolation_forest,4,24.0,27.0,4,48,0.9895833333333334
source_target_isolation_forest,5,27.0,30.0,4,48,1.0
source_target_isolation_forest,6,30.0,33.0,4,48,1.0
source_target_isolation_forest,7,33.0,36.0,4,48,1.0
target_min_cov_det,0,12.0,15.0,4,48,0.7552083333333334
target_min_cov_det,1,15.0,18.0,4,48,0.8802083333333334
target_min_cov_det,2,18.0,21.0,4,48,0.96875
target_min_cov_det,3,21.0,24.0,4,48,1.0
target_min_cov_det,4,24.0,27.0,4,48,1.0
target_min_cov_det,5,27.0,30.0,4,48,1.0
target_min_cov_det,6,30.0,33.0,4,48,1.0
target_min_cov_det,7,33.0,36.0,4,48,1.0
source_target_min_cov_det,0,12.0,15.0,4,48,0.6979166666666667
source_target_min_cov_det,1,15.0,18.0,4,48,0.9166666666666666
source_target_min_cov_det,2,18.0,21.0,4,48,1.0
source_target_min_cov_det,3,21.0,24.0,4,48,0.96875
source_target_min_cov_det,4,24.0,27.0,4,48,0.9322916666666667
source_target_min_cov_det,5,27.0,30.0,4,48,0.9791666666666667
source_target_min_cov_det,6,30.0,33.0,4,48,1.0
source_target_min_cov_det,7,33.0,36.0,4,48,1.0
