method,first_alarm_block,records,record_fraction
target_ledoit,6,17,0.3541666666666667
target_ledoit,5,12,0.25
target_ledoit,7,6,0.125
target_ledoit,2,5,0.10416666666666667
target_ledoit,4,5,0.10416666666666667
target_ledoit,3,3,0.0625
target_sample_covariance,4,15,0.3125
target_sample_covariance,6,9,0.1875
target_sample_covariance,0,7,0.14583333333333334
target_sample_covariance,5,7,0.14583333333333334
target_sample_covariance,2,4,0.08333333333333333
target_sample_covariance,1,3,0.0625
target_sample_covariance,3,3,0.0625
source_covariance,7,47,0.9791666666666666
source_covariance,6,1,0.020833333333333332
entity_balanced_covariance,7,18,0.375
entity_balanced_covariance,6,17,0.3541666666666667
entity_balanced_covariance,5,5,0.10416666666666667
entity_balanced_covariance,3,4,0.08333333333333333
entity_balanced_covariance,4,3,0.0625
entity_balanced_covariance,2,1,0.020833333333333332
log_euclidean_entity_covariance,7,23,0.4791666666666667
log_euclidean_entity_covariance,6,14,0.2916666666666667
log_euclidean_entity_covariance,3,5,0.10416666666666667
log_euclidean_entity_covariance,5,4,0.08333333333333333
log_euclidean_entity_covariance,4,2,0.041666666666666664
target_ocsvm_rbf,7,39,0.8125
target_ocsvm_rbf,never,6,0.125
target_ocsvm_rbf,4,2,0.041666666666666664
target_ocsvm_rbf,6,1,0.020833333333333332
source_target_ocsvm_rbf,7,41,0.8541666666666666
source_target_ocsvm_rbf,never,4,0.08333333333333333
source_target_ocsvm_rbf,5,2,0.041666666666666664
source_target_ocsvm_rbf,6,1,0.020833333333333332
target_isolation_forest,0,21,0.4375
target_isolation_forest,3,10,0.20833333333333334
target_isolation_forest,2,8,0.16666666666666666
target_isolation_forest,4,6,0.125
target_isolation_forest,1,2,0.041666666666666664
target_isolation_forest,5,1,0.020833333333333332
source_target_isolation_forest,0,24,0.5
source_target_isolation_forest,3,10,0.20833333333333334
source_target_isolation_forest,4,8,0.16666666666666666
source_target_isolation_forest,6,2,0.041666666666666664
source_target_isolation_forest,2,2,0.041666666666666664
source_target_isolation_forest,7,1,0.020833333333333332
source_target_isolation_forest,5,1,0.020833333333333332
target_min_cov_det,0,21,0.4375
target_min_cov_det,1,6,0.125
target_min_cov_det,5,5,0.10416666666666667
target_min_cov_det,7,5,0.10416666666666667
target_min_cov_det,6,4,0.08333333333333333
target_min_cov_det,4,3,0.0625
target_min_cov_det,2,2,0.041666666666666664
target_min_cov_det,3,2,0.041666666666666664
source_target_min_cov_det,7,18,0.375
source_target_min_cov_det,6,12,0.25
source_target_min_cov_det,5,8,0.16666666666666666
source_target_min_cov_det,3,4,0.08333333333333333
source_target_min_cov_det,2,3,0.0625
source_target_min_cov_det,4,3,0.0625
