method,fault_records,records_with_any_alarm,records_without_alarm,record_any_alarm_rate,first_alarm_block_q25,first_alarm_block_median,first_alarm_block_q75,first_alarm_approx_rpm_q25,first_alarm_approx_rpm_median,first_alarm_approx_rpm_q75
target_ledoit,48,48,0,1.0,4.0,5.0,6.0,889.1980285644531,1216.421875,1642.8416137695312
target_sample_covariance,48,48,0,1.0,2.0,4.0,5.0,462.6670837402344,889.2482147216797,1216.2252655029297
source_covariance,48,48,0,1.0,7.0,7.0,7.0,2213.9295349121094,2214.0443115234375,2214.139556884765
entity_balanced_covariance,48,48,0,1.0,5.0,6.0,7.0,1216.2457275390625,1642.8416137695312,2214.129272460937
log_euclidean_entity_covariance,48,48,0,1.0,6.0,6.0,7.0,1641.7462158203125,1642.8471069335938,2214.129272460937
target_ocsvm_rbf,48,42,6,0.875,7.0,7.0,7.0,2213.8140869140625,2214.0443115234375,2214.17041015625
source_target_ocsvm_rbf,48,44,4,0.9166666666666666,7.0,7.0,7.0,2213.8140869140625,2214.051513671875,2214.17041015625
target_isolation_forest,48,48,0,1.0,0.0,2.0,3.0,218.0725555419922,462.5474548339844,644.3818054199219
source_target_isolation_forest,48,48,0,1.0,0.0,1.0,3.25,218.0725555419922,340.44594955444336,705.52880859375
target_min_cov_det,48,48,0,1.0,0.0,1.0,5.0,218.0663604736328,317.75489044189453,1216.1049346923828
source_target_min_cov_det,48,48,0,1.0,5.0,6.0,7.0,1216.1011962890625,1642.7767639160156,2214.0407104492188
