method,horizon,included_block_ids,fault_records,fault_blocks,fault_alarms,fault_block_detection_rate,fault_records_with_any_alarm,fault_record_any_alarm_rate,health_records,health_blocks,health_false_alarms,healthy_block_false_alarm_rate,health_records_with_any_alarm,health_record_any_alarm_rate
target_ledoit,first_4_blocks,0 1 2 3,48,192,13,0.06770833333333333,8,0.16666666666666666,4,16,0,0.0,0,0.0
target_ledoit,first_7_blocks,0 1 2 3 4 5 6,48,336,93,0.2767857142857143,42,0.875,4,28,0,0.0,0,0.0
target_ledoit,all_8_blocks,0 1 2 3 4 5 6 7,48,384,141,0.3671875,48,1.0,4,32,1,0.03125,1,0.25
target_sample_covariance,first_4_blocks,0 1 2 3,48,192,48,0.25,17,0.3541666666666667,4,16,0,0.0,0,0.0
target_sample_covariance,first_7_blocks,0 1 2 3 4 5 6,48,336,167,0.49702380952380953,48,1.0,4,28,0,0.0,0,0.0
target_sample_covariance,all_8_blocks,0 1 2 3 4 5 6 7,48,384,215,0.5598958333333334,48,1.0,4,32,1,0.03125,1,0.25
source_covariance,first_4_blocks,0 1 2 3,48,192,0,0.0,0,0.0,4,16,0,0.0,0,0.0
source_covariance,first_7_blocks,0 1 2 3 4 5 6,48,336,1,0.002976190476190476,1,0.020833333333333332,4,28,0,0.0,0,0.0
source_covariance,all_8_blocks,0 1 2 3 4 5 6 7,48,384,49,0.12760416666666666,48,1.0,4,32,1,0.03125,1,0.25
entity_balanced_covariance,first_4_blocks,0 1 2 3,48,192,6,0.03125,5,0.10416666666666667,4,16,0,0.0,0,0.0
entity_balanced_covariance,first_7_blocks,0 1 2 3 4 5 6,48,336,57,0.16964285714285715,30,0.625,4,28,0,0.0,0,0.0
entity_balanced_covariance,all_8_blocks,0 1 2 3 4 5 6 7,48,384,105,0.2734375,48,1.0,4,32,1,0.03125,1,0.25
log_euclidean_entity_covariance,first_4_blocks,0 1 2 3,48,192,5,0.026041666666666668,5,0.10416666666666667,4,16,0,0.0,0,0.0
log_euclidean_entity_covariance,first_7_blocks,0 1 2 3 4 5 6,48,336,48,0.14285714285714285,25,0.5208333333333334,4,28,0,0.0,0,0.0
log_euclidean_entity_covariance,all_8_blocks,0 1 2 3 4 5 6 7,48,384,96,0.25,48,1.0,4,32,1,0.03125,1,0.25
target_ocsvm_rbf,first_4_blocks,0 1 2 3,48,192,0,0.0,0,0.0,4,16,0,0.0,0,0.0
target_ocsvm_rbf,first_7_blocks,0 1 2 3 4 5 6,48,336,7,0.020833333333333332,3,0.0625,4,28,0,0.0,0,0.0
target_ocsvm_rbf,all_8_blocks,0 1 2 3 4 5 6 7,48,384,49,0.12760416666666666,42,0.875,4,32,1,0.03125,1,0.25
source_target_ocsvm_rbf,first_4_blocks,0 1 2 3,48,192,0,0.0,0,0.0,4,16,0,0.0,0,0.0
source_target_ocsvm_rbf,first_7_blocks,0 1 2 3 4 5 6,48,336,5,0.01488095238095238,3,0.0625,4,28,0,0.0,0,0.0
source_target_ocsvm_rbf,all_8_blocks,0 1 2 3 4 5 6 7,48,384,49,0.12760416666666666,44,0.9166666666666666,4,32,1,0.03125,1,0.25
target_isolation_forest,first_4_blocks,0 1 2 3,48,192,56,0.2916666666666667,41,0.8541666666666666,4,16,3,0.1875,3,0.75
target_isolation_forest,first_7_blocks,0 1 2 3 4 5 6,48,336,183,0.5446428571428571,48,1.0,4,28,3,0.10714285714285714,3,0.75
target_isolation_forest,all_8_blocks,0 1 2 3 4 5 6 7,48,384,230,0.5989583333333334,48,1.0,4,32,3,0.09375,3,0.75
source_target_isolation_forest,first_4_blocks,0 1 2 3,48,192,38,0.19791666666666666,36,0.75,4,16,2,0.125,2,0.5
source_target_isolation_forest,first_7_blocks,0 1 2 3 4 5 6,48,336,149,0.44345238095238093,47,0.9791666666666666,4,28,2,0.07142857142857142,2,0.5
source_target_isolation_forest,all_8_blocks,0 1 2 3 4 5 6 7,48,384,194,0.5052083333333334,48,1.0,4,32,2,0.0625,2,0.5
target_min_cov_det,first_4_blocks,0 1 2 3,48,192,105,0.546875,31,0.6458333333333334,4,16,0,0.0,0,0.0
target_min_cov_det,first_7_blocks,0 1 2 3 4 5 6,48,336,221,0.6577380952380952,43,0.8958333333333334,4,28,0,0.0,0,0.0
target_min_cov_det,all_8_blocks,0 1 2 3 4 5 6 7,48,384,269,0.7005208333333334,48,1.0,4,32,0,0.0,0,0.0
source_target_min_cov_det,first_4_blocks,0 1 2 3,48,192,10,0.052083333333333336,7,0.14583333333333334,4,16,0,0.0,0,0.0
source_target_min_cov_det,first_7_blocks,0 1 2 3 4 5 6,48,336,68,0.20238095238095238,30,0.625,4,28,0,0.0,0,0.0
source_target_min_cov_det,all_8_blocks,0 1 2 3 4 5 6 7,48,384,116,0.3020833333333333,48,1.0,4,32,1,0.03125,1,0.25
