method,first_alarm_block_median,first_alarm_approx_rpm_median,records_without_alarm,equal_weight_mean_block_auroc,pooled_block_auroc,healthy_pooled_spearman_block_score,fault_pooled_spearman_block_score,first_4_blocks_detection,first_4_blocks_record_any,first_4_blocks_healthy_far,first_7_blocks_detection,first_7_blocks_record_any,first_7_blocks_healthy_far,all_8_blocks_detection,all_8_blocks_record_any,all_8_blocks_healthy_far
target_ledoit,5.0,1216.421875,0,0.9134114583333333,0.7674967447916666,0.5716551773663937,0.7405520433396491,0.06770833333333333,0.16666666666666666,0.0,0.2767857142857143,0.875,0.0,0.3671875,1.0,0.03125
target_sample_covariance,4.0,889.2482147216797,0,0.9622395833333333,0.8756510416666666,0.5879037741390819,0.6934806246242988,0.25,0.3541666666666667,0.0,0.49702380952380953,1.0,0.0,0.5598958333333334,1.0,0.03125
source_covariance,7.0,2214.0443115234375,0,0.9427083333333334,0.5747070312499999,0.9217385805597667,0.92648978640279,0.0,0.0,0.0,0.002976190476190476,0.020833333333333332,0.0,0.12760416666666666,1.0,0.03125
entity_balanced_covariance,6.0,1642.8416137695312,0,0.9381510416666667,0.6971842447916666,0.7267554192875083,0.8063248926228059,0.03125,0.10416666666666667,0.0,0.16964285714285715,0.625,0.0,0.2734375,1.0,0.03125
log_euclidean_entity_covariance,6.0,1642.8471069335938,0,0.8046875,0.6354166666666666,0.8360641612128652,0.8211609507541744,0.026041666666666668,0.10416666666666667,0.0,0.14285714285714285,0.5208333333333334,0.0,0.25,1.0,0.03125
target_ocsvm_rbf,7.0,2214.0443115234375,6,0.8899739583333333,0.720947265625,0.316109064486843,0.6072428648534225,0.0,0.0,0.0,0.020833333333333332,0.0625,0.0,0.12760416666666666,0.875,0.03125
source_target_ocsvm_rbf,7.0,2214.051513671875,4,0.8893229166666666,0.6875813802083334,0.3294033709372243,0.48948254734658464,0.0,0.0,0.0,0.01488095238095238,0.0625,0.0,0.12760416666666666,0.9166666666666666,0.03125
target_isolation_forest,2.0,462.5474548339844,0,0.884765625,0.8670247395833333,-0.031020048384222912,0.6976690397733906,0.2916666666666667,0.8541666666666666,0.1875,0.5446428571428571,1.0,0.10714285714285714,0.5989583333333334,1.0,0.09375
source_target_isolation_forest,1.0,340.44594955444336,0,0.8971354166666667,0.8245442708333334,0.16691740321034235,0.6524994744162275,0.19791666666666666,0.75,0.125,0.44345238095238093,0.9791666666666666,0.07142857142857142,0.5052083333333334,1.0,0.0625
target_min_cov_det,1.0,317.75489044189453,0,0.9505208333333334,0.9267578125,0.023634322578455554,0.5569007142110592,0.546875,0.6458333333333334,0.0,0.6577380952380952,0.8958333333333334,0.0,0.7005208333333334,1.0,0.0
source_target_min_cov_det,6.0,1642.7767639160156,0,0.9368489583333334,0.7012532552083334,0.8227698547624841,0.8047049222117789,0.052083333333333336,0.14583333333333334,0.0,0.20238095238095238,0.625,0.0,0.3020833333333333,1.0,0.03125
