method_a,method_b,paired_fault_records,method_a_detection,method_b_detection,method_a_minus_b_detection,bootstrap_ci_lower,bootstrap_ci_upper,centered_bootstrap_two_sided_p,records_method_a_better,records_tied,records_method_b_better,method_a_health_false_alarms,method_b_health_false_alarms,bootstrap_unit,bootstrap_strata,bootstrap_iterations,bootstrap_seed,independent_external_motors,cross_motor_inference_valid,candidate,reference,difference_direction,holm_adjusted_p,holm_family_size,reject_equal_mean_at_familywise_0p05
target_min_cov_det,log_euclidean_entity_covariance,48,0.7005208333333334,0.25,0.4505208333333333,0.40625,0.4947916666666667,9.999000099990002e-05,43,5,0,0,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,target_min_cov_det,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
target_isolation_forest,log_euclidean_entity_covariance,48,0.5989583333333334,0.25,0.3489583333333333,0.3177083333333333,0.3802083333333333,9.999000099990002e-05,47,1,0,3,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,target_isolation_forest,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
target_sample_covariance,log_euclidean_entity_covariance,48,0.5598958333333334,0.25,0.3098958333333333,0.28125,0.34375,9.999000099990002e-05,48,0,0,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,target_sample_covariance,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
source_target_isolation_forest,log_euclidean_entity_covariance,48,0.5052083333333334,0.25,0.2552083333333333,0.21875,0.2890625,9.999000099990002e-05,41,7,0,2,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,source_target_isolation_forest,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
target_ledoit,log_euclidean_entity_covariance,48,0.3671875,0.25,0.1171875,0.09895833333333333,0.13541666666666666,9.999000099990002e-05,33,15,0,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,target_ledoit,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
source_target_min_cov_det,log_euclidean_entity_covariance,48,0.3020833333333333,0.25,0.052083333333333336,0.0390625,0.06510416666666667,9.999000099990002e-05,21,26,1,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,source_target_min_cov_det,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
entity_balanced_covariance,log_euclidean_entity_covariance,48,0.2734375,0.25,0.0234375,0.010416666666666666,0.036458333333333336,9.999000099990002e-05,10,36,2,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,entity_balanced_covariance,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
source_target_ocsvm_rbf,log_euclidean_entity_covariance,48,0.12760416666666666,0.25,-0.12239583333333333,-0.16145833333333334,-0.0859375,9.999000099990002e-05,0,23,25,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,source_target_ocsvm_rbf,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
source_covariance,log_euclidean_entity_covariance,48,0.12760416666666666,0.25,-0.12239583333333333,-0.1640625,-0.08333333333333333,9.999000099990002e-05,0,23,25,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,source_covariance,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
target_ocsvm_rbf,log_euclidean_entity_covariance,48,0.12760416666666666,0.25,-0.12239583333333333,-0.1640625,-0.0859375,9.999000099990002e-05,0,22,26,1,1,complete fault record,fault_turns (6 strata x 8 load records),10000,711,1,False,target_ocsvm_rbf,log_euclidean_entity_covariance,candidate minus Proposed,0.000999900009999,10,True
