method,population,blocks,records,pooled_spearman_block_score,pooled_naive_p_value_block_score,pooled_spearman_approx_rpm_score,pooled_naive_p_value_approx_rpm_score,record_spearman_q25,record_spearman_median,record_spearman_q75,records_with_positive_spearman,inference_valid,interpretation
target_ledoit,healthy_test,32,4,0.5716551773663937,0.0006313286549402574,0.5681818181818181,0.0006929493074642475,0.5714285714285715,0.5714285714285715,0.5714285714285715,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_ledoit,fault,384,48,0.7405520433396491,6.236779779718639e-68,0.7253183603445392,6.420482917326076e-64,0.8571428571428572,0.8571428571428572,0.9285714285714287,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_sample_covariance,healthy_test,32,4,0.5879037741390819,0.0004026758991633522,0.5879765395894427,0.0004018442704924393,0.5714285714285715,0.5714285714285715,0.5714285714285715,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_sample_covariance,fault,384,48,0.6934806246242988,2.3925820045686764e-56,0.6779275164329226,5.357266937154418e-53,0.9107142857142858,0.9761904761904763,1.0,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_covariance,healthy_test,32,4,0.9217385805597667,7.102501583222209e-14,0.9178885630498531,1.4219134592511044e-13,0.9285714285714287,0.9285714285714287,0.9285714285714287,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_covariance,fault,384,48,0.92648978640279,3.2095687215531366e-164,0.9159258224756814,1.5611288330618239e-153,0.9285714285714287,0.9285714285714287,0.9761904761904763,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
entity_balanced_covariance,healthy_test,32,4,0.7267554192875083,2.475649725454526e-06,0.722507331378299,3.022867361243224e-06,0.7380952380952381,0.7380952380952381,0.7380952380952381,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
entity_balanced_covariance,fault,384,48,0.8063248926228059,3.82485562763937e-89,0.7930797003725191,2.927904921636634e-84,0.8571428571428572,0.9166666666666667,0.9285714285714287,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
log_euclidean_entity_covariance,healthy_test,32,4,0.8360641612128652,2.5720331064953175e-09,0.8357771260997067,2.6350613738730254e-09,0.8333333333333335,0.8333333333333335,0.8392857142857144,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
log_euclidean_entity_covariance,fault,384,48,0.8211609507541744,4.39027329033409e-95,0.8080237445642648,8.489170081354692e-90,0.8333333333333335,0.9285714285714287,0.9761904761904763,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_ocsvm_rbf,healthy_test,32,4,0.316109064486843,0.07797642745725437,0.3167155425219941,0.07737621626666842,0.3571428571428572,0.3571428571428572,0.3571428571428572,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_ocsvm_rbf,fault,384,48,0.6072428648534225,4.6197054520036554e-40,0.5965905402622464,2.1897466413478084e-38,0.5714285714285715,0.7142857142857144,0.8571428571428572,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_ocsvm_rbf,healthy_test,32,4,0.3294033709372243,0.06561986030825932,0.3291788856304985,0.065814947348937,0.3571428571428572,0.3571428571428572,0.3571428571428572,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_ocsvm_rbf,fault,384,48,0.48948254734658464,1.5745511877321734e-24,0.48088031755957683,1.2891669461036548e-23,0.4285714285714286,0.4761904761904762,0.6428571428571429,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_isolation_forest,healthy_test,32,4,-0.031020048384222912,0.8661626090195487,-0.05168621700879765,0.7787591298809273,-0.16071428571428575,0.023809523809523815,0.13690476190476195,2,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_isolation_forest,fault,384,48,0.6976690397733906,2.753592513799942e-57,0.683231955125534,4.0726012092755506e-54,0.7559523809523812,0.8333333333333335,0.9285714285714287,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_isolation_forest,healthy_test,32,4,0.16691740321034235,0.361195651044065,0.16825513196480937,0.3573047958062134,0.18452380952380953,0.25,0.2916666666666667,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_isolation_forest,fault,384,48,0.6524994744162275,6.053682765838276e-48,0.6386998773265835,2.1178699377819505e-45,0.7142857142857144,0.7619047619047621,0.8571428571428572,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_min_cov_det,healthy_test,32,4,0.023634322578455554,0.8978368426925769,0.02639296187683284,0.8859854893957696,0.0,0.011904761904761908,0.03571428571428572,2,False,Descriptive only: ordered blocks are repeated within one physical motor.
target_min_cov_det,fault,384,48,0.5569007142110592,1.163862739819039e-32,0.5393857604760861,2.274112712861995e-30,0.7619047619047621,0.9285714285714287,1.0,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_min_cov_det,healthy_test,32,4,0.8227698547624841,7.53804228608474e-09,0.8214809384164221,8.326786266709789e-09,0.8511904761904763,0.8571428571428572,0.8571428571428572,4,False,Descriptive only: ordered blocks are repeated within one physical motor.
source_target_min_cov_det,fault,384,48,0.8047049222117789,1.5848809434240357e-88,0.7913069152816083,1.2391281159491423e-83,0.8571428571428572,0.9285714285714287,0.9761904761904763,48,False,Descriptive only: ordered blocks are repeated within one physical motor.
