file,load_nm,block_id,start_seconds,stop_seconds,start_sample,stop_sample_exclusive,samples,windows_0p2s,speed_rpm_min,speed_rpm_median,speed_rpm_max,electrical_hz_min,electrical_hz_median,electrical_hz_max,feature_band_fraction,fully_inside_20_500hz_feature_band,inside_frozen_12_36s_segment,protocol_role
spd10-5000rpm_flt0z_0NM.mat,0,0,0.0,3.0,0,30000,30000,15,-6.123785972595215,9.187050819396973,28.933937072753906,-1.0206309936705127,1.5311751880064781,4.822322709599586,0.0,False,False,unused
spd10-5000rpm_flt0z_0NM.mat,0,1,3.0,6.0,30000,60000,30000,15,21.8472957611084,37.08772087097168,62.51299285888672,3.641215738360707,6.181286592569744,10.418832486985925,0.0,False,False,unused
spd10-5000rpm_flt0z_0NM.mat,0,2,6.0,9.0,60000,90000,30000,15,54.80631637573242,82.53825378417969,115.8688735961914,9.134385967860606,13.756374979208235,19.311478935590102,0.0,False,False,unused
spd10-5000rpm_flt0z_0NM.mat,0,3,9.0,12.0,90000,120000,30000,15,110.68089294433594,136.69506072998047,186.2283477783203,18.446815842853766,22.78250943069529,31.03805769012602,0.7952666666666667,False,False,unused
spd10-5000rpm_flt0z_0NM.mat,0,4,12.0,15.0,120000,150000,30000,15,181.88699340820312,218.1411590576172,275.7821350097656,30.314499627234962,36.356858957830795,45.96368819988929,1.0,True,True,adaptation
spd10-5000rpm_flt0z_0NM.mat,0,5,15.0,18.0,150000,180000,30000,15,272.21527099609375,317.7087860107422,402.4759521484375,45.36920796262502,52.95146349443257,67.07932062360324,1.0,True,True,adaptation
spd10-5000rpm_flt0z_0NM.mat,0,6,18.0,21.0,180000,210000,30000,15,397.9468688964844,462.6670837402344,570.692626953125,66.32447604441803,77.11118191297292,95.1154391395413,1.0,True,True,adaptation
spd10-5000rpm_flt0z_0NM.mat,0,7,21.0,24.0,210000,240000,30000,15,568.7266235351562,644.2317199707031,784.7748413085938,94.78777462627025,107.37195800427224,130.79580337706602,1.0,True,True,adaptation
spd10-5000rpm_flt0z_0NM.mat,0,8,24.0,27.0,240000,270000,30000,15,784.56298828125,888.6559753417969,1079.5404052734375,130.76049281687685,148.10932873345837,179.92340033930114,1.0,True,True,unused
spd10-5000rpm_flt0z_0NM.mat,0,9,27.0,30.0,270000,300000,30000,15,1079.3564453125,1216.2249755859375,1464.8721923828125,179.89272337944493,202.7041612415689,244.14537294711405,1.0,True,True,unused
spd10-5000rpm_flt0z_0NM.mat,0,10,30.0,33.0,300000,330000,30000,15,1462.7335205078125,1642.759521484375,1971.8463134765625,243.7889257131166,273.7932655394494,328.6410469697183,1.0,True,True,unused
spd10-5000rpm_flt0z_0NM.mat,0,11,33.0,36.0,330000,360000,30000,15,1971.613525390625,2213.8140869140625,2648.686279296875,328.6022684948145,368.9690094816466,441.44770817706717,1.0,True,True,unused
spd10-5000rpm_flt0z_0NM.mat,0,12,36.0,39.0,360000,390000,30000,15,2648.3095703125,2975.7314453125,3552.36376953125,441.3849165784254,495.95526483152724,592.0605847700767,0.5455333333333333,False,False,unused
spd10-5000rpm_flt0z_5NM.mat,5,0,0.0,3.0,0,30000,30000,15,-4.08948278427124,9.292046070098877,26.97282600402832,-0.6815804791620704,1.548674360333023,4.495470837057796,0.0,False,False,unused
spd10-5000rpm_flt0z_5NM.mat,5,1,3.0,6.0,30000,60000,30000,15,20.447465896606445,36.82442283630371,64.27885437011719,3.4079110473833008,6.137403689626284,10.713142606246107,0.0,False,False,unused
spd10-5000rpm_flt0z_5NM.mat,5,2,6.0,9.0,60000,90000,30000,15,55.3026008605957,81.90242385864258,117.82903289794922,9.21710046940135,13.650404442453505,19.638172044179186,0.0,False,False,unused
spd10-5000rpm_flt0z_5NM.mat,5,3,9.0,12.0,90000,120000,30000,15,111.04021453857422,136.76101684570312,188.59780883789062,18.50670294149644,22.79350208892749,31.43296769250556,0.7941,False,False,unused
spd10-5000rpm_flt0z_5NM.mat,5,4,12.0,15.0,120000,150000,30000,15,183.04849243164062,218.0320053100586,277.1677551269531,30.508081152255425,36.338666976649435,46.19462509195443,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,5,15.0,18.0,150000,180000,30000,15,271.2265319824219,317.8353729248047,402.0263671875,45.20441887237777,52.97255997561298,67.00439618048387,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,6,18.0,21.0,180000,210000,30000,15,397.12554931640625,462.5474548339844,571.7500610351562,66.18759055366002,77.09123897485235,95.29168109098882,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,7,21.0,24.0,210000,240000,30000,15,568.1904296875,644.4864196777344,786.3854370117188,94.69840539553017,107.41440353185035,131.0642413468781,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,8,24.0,27.0,240000,270000,30000,15,783.8638305664062,889.1197509765625,1081.240478515625,130.64396311122925,148.1866185469783,180.2067590850281,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,9,27.0,30.0,270000,300000,30000,15,1078.1260986328125,1216.2457275390625,1465.0435791015625,179.68767927917736,202.70761944223665,244.17393224476362,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,10,30.0,33.0,300000,330000,30000,15,1462.407958984375,1642.6898803710938,1972.5386962890625,243.73466304758247,273.7816475394532,328.7564498459348,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,11,33.0,36.0,330000,360000,30000,15,1970.0791015625,2213.968017578125,2650.441162109375,328.34651707014876,368.9946545652503,441.74021755489815,1.0,True,True,health_test
spd10-5000rpm_flt0z_5NM.mat,5,12,36.0,39.0,360000,390000,30000,15,2647.7939453125,2975.65771484375,3551.5654296875,441.29896669216583,495.94292799206636,591.9275800410231,0.5449,False,False,unused
spd10-5000rpm_flt0z_10NM.mat,10,0,0.0,3.0,0,30000,30000,15,-4.649268627166748,9.41294240951538,27.107038497924805,-0.7748780552577859,1.568823646057533,4.517839858371569,0.0,False,False,unused
spd10-5000rpm_flt0z_10NM.mat,10,1,3.0,6.0,30000,60000,30000,15,17.708667755126953,36.64888000488281,62.01821517944336,2.951444648127939,6.108146498425544,10.336369943534564,0.0,False,False,unused
spd10-5000rpm_flt0z_10NM.mat,10,2,6.0,9.0,60000,90000,30000,15,56.255470275878906,82.05982971191406,116.39847564697266,9.375911778087001,13.67663783301769,19.399746836272012,0.0,False,False,unused
spd10-5000rpm_flt0z_10NM.mat,10,3,9.0,12.0,90000,120000,30000,15,109.78022003173828,136.5138168334961,187.43124389648438,18.296703463095042,22.752303602109826,31.238541045411793,0.7876,False,False,unused
spd10-5000rpm_flt0z_10NM.mat,10,4,12.0,15.0,120000,150000,30000,15,180.77394104003906,218.01493072509766,276.5980224609375,30.12899047512156,36.335823189443005,46.0996702842931,1.0,True,True,calibration
spd10-5000rpm_flt0z_10NM.mat,10,5,15.0,18.0,150000,180000,30000,15,270.6349182128906,317.7274475097656,401.97998046875,45.1058212971591,52.954571989414845,66.9966637992155,1.0,True,True,calibration
spd10-5000rpm_flt0z_10NM.mat,10,6,18.0,21.0,180000,210000,30000,15,398.3112487792969,462.58580017089844,571.8219604492188,66.38520826513401,77.09763567468303,95.30365851071736,1.0,True,True,calibration
spd10-5000rpm_flt0z_10NM.mat,10,7,21.0,24.0,210000,240000,30000,15,567.7174682617188,644.3838195800781,786.1254272460938,94.61957590558933,107.39730680944791,131.020906984016,1.0,True,True,calibration
spd10-5000rpm_flt0z_10NM.mat,10,8,24.0,27.0,240000,270000,30000,15,779.9163818359375,888.98193359375,1081.3189697265625,129.9860695763268,148.16364482625,180.21981476395362,1.0,True,True,calibration
