file,load_nm,variable,shape,elements,matlab_class,role
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys1_A,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys1_B,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys1_C,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys1_d,415001x1,415001,single,dq_current_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys1_q,415001x1,415001,single,dq_current_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys2_A,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys2_B,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys2_C,415001x1,415001,single,primary_abc_current
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys2_d,415001x1,415001,single,dq_current_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Currents_SubSys2_q,415001x1,415001,single,dq_current_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,SinCos_Electrical_Cos,415001x1,415001,single,electrical_position_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,SinCos_Electrical_Sin,415001x1,415001,single,electrical_position_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Speed_rad_el,415001x1,415001,single,speed_qc_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Speed_requred_rad_el,415001x1,415001,single,speed_qc_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Speed_requred_rpm,415001x1,415001,single,speed_qc_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Speed_rpm,415001x1,415001,single,speed_qc_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Time,415001x1,415001,double,timebase
spd10-5000rpm_flt0z_0NM.mat,0,Voltage_SubSys1_d,415001x1,415001,single,dq_control_voltage_not_scored
spd10-5000rpm_flt0z_0NM.mat,0,Voltage_SubSys1_q,415001x1,415001,single,dq_control_voltage_not_scored
