path,bytes,sha256
C:\lkc\phd sci\results\external_pmsm_validation\aggregate_summary.csv,3100,d21ae9068e39ecfb0c3d4b597fdf150f490079ccd0739bfc4b14a79cdad38cfa
C:\lkc\phd sci\results\external_pmsm_validation\run_metadata.json,14966,b4bf425e76393c9882e9a84088914cbcc362ac9c4a3cfadee6b7f60818b390a3
C:\lkc\phd sci\results\external_pmsm_validation\target_ledoit\system_block_predictions.csv,68631,e8fd6ad295abbea1370bb6de38c3b004feb56d9901e2541e1984a986d0a470fc
C:\lkc\phd sci\results\external_pmsm_validation\target_ledoit\fault_record_summary.csv,4828,8ddeb71f4d81d8a6337a220abbedce2a755b030f4744cbf6254e8fd21c3d8e3d
C:\lkc\phd sci\results\external_pmsm_validation\target_ledoit\summary.json,856,b8e750446ad919d50d5c472c4bfae9841c0cfd5dfe635721f31783553d5f8846
C:\lkc\phd sci\results\external_pmsm_validation\target_sample_covariance\system_block_predictions.csv,73515,a51a88fa4e1e1929f563fe8570f7cc1409d61b361f4446d75039e51f923498e9
C:\lkc\phd sci\results\external_pmsm_validation\target_sample_covariance\fault_record_summary.csv,4794,6dedf88b7340b02a6b56e720c1ab17582b5597838ae19a2a18df3c72fbfbf571
C:\lkc\phd sci\results\external_pmsm_validation\target_sample_covariance\summary.json,893,bc18478decbe28f49fc677a66b759aaa4f9de512a6b503687ec6c419887f51e1
C:\lkc\phd sci\results\external_pmsm_validation\source_covariance\system_block_predictions.csv,70753,9297941366155f9bcf746c1b8b7a9e54636ad2533da5436d9d132d1143bf23fe
C:\lkc\phd sci\results\external_pmsm_validation\source_covariance\fault_record_summary.csv,4886,190d82177e109ea40f2d39f3e5d6cabfbcc959f9782591cbe63d69913f0d567e
C:\lkc\phd sci\results\external_pmsm_validation\source_covariance\summary.json,867,814e4dfd2ed7645e66448623b5ece291955bb87b6cdc3df4327d70550dccec86
C:\lkc\phd sci\results\external_pmsm_validation\entity_balanced_covariance\system_block_predictions.csv,74576,e63f44d50cac9d23b6f4d20e0ec58b2a45509256dc647adfdc1d6bb09a60573c
C:\lkc\phd sci\results\external_pmsm_validation\entity_balanced_covariance\fault_record_summary.csv,4835,842ee4bf919ccf6e91c40d3c075fa3baea4e90986cfc0c044c9b7d9430ea8bc4
C:\lkc\phd sci\results\external_pmsm_validation\entity_balanced_covariance\summary.json,868,4bd807640902ecb72a64acbec394e50838e6bd8f458e9ff01c10a1f5f2b7c628
C:\lkc\phd sci\results\external_pmsm_validation\log_euclidean_entity_covariance\system_block_predictions.csv,76595,cfa44fb7ca770f8a73d3d2cfd9023222c61eaccac6be1222800fbc0e0268497f
C:\lkc\phd sci\results\external_pmsm_validation\log_euclidean_entity_covariance\fault_record_summary.csv,4841,f3d445cd6bf4b3888198f62babc4c144ac828d1dad4c807bd8c33718b7a10447
C:\lkc\phd sci\results\external_pmsm_validation\log_euclidean_entity_covariance\summary.json,863,2d8439a2ac0d8c92de916c8291d6c5f5d606c4da8d9b18951dadd3d93f8532e5
