alpha,threshold,calibration_records,calibration_blocks,health_test_records,health_test_blocks,false_alarms,healthy_block_false_alarm_rate,descriptive_wilson_lower,descriptive_wilson_upper,max_heldout_load_false_alarm_rate,h1_empirical_pass,faults_available,fault_records,fault_blocks,fault_block_detection_rate,fault_record_macro_detection_rate,record_bootstrap_detection_ci_lower,record_bootstrap_detection_ci_upper,fault_record_any_alarm_rate,block_auroc,block_auprc,method,external_motor_id,independent_external_motors,bootstrap_unit,bootstrap_strata,bootstrap_iterations,bootstrap_seed,recomputed_record_ci_lower,recomputed_record_ci_upper
0.05,183.88696048195305,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.3671875,0.3671875,0.3255208333333333,0.4140625,1.0,0.7674967447916666,0.9746611652216562,target_ledoit,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.3255208333333333,0.4140625
0.05,738.7026855800124,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.5598958333333334,0.5598958333333334,0.5104166666666666,0.6145833333333334,1.0,0.8756510416666666,0.9882732911382393,target_sample_covariance,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.5104166666666666,0.6145833333333334
0.05,109212.27762107668,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.1276041666666666,0.1276041666666666,0.125,0.1328125,1.0,0.5747070312499999,0.943515261835812,source_covariance,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.125,0.1328125
0.05,1250.372244355571,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.2734375,0.2734375,0.2317708333333333,0.3203125,1.0,0.6971842447916666,0.964762958956674,entity_balanced_covariance,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.23177083333333334,0.3203125
0.05,4983.287627092597,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.25,0.25,0.2109375,0.2942708333333333,1.0,0.6354166666666666,0.95829837866501,log_euclidean_entity_covariance,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.2109375,0.2942708333333333
0.05,0.4017358142835575,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.1276041666666666,0.1276041666666666,0.1067708333333333,0.1536458333333333,0.875,0.720947265625,0.9621983816309108,target_ocsvm_rbf,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.10677083333333333,0.15364583333333334
0.05,0.8276634174834231,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.1276041666666666,0.1276041666666666,0.1119791666666666,0.1458333333333333,0.9166666666666666,0.6875813802083334,0.9557827377741456,source_target_ocsvm_rbf,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.11197916666666667,0.14583333333333334
0.05,0.569218190283984,3,24,4,32,3,0.09375,0.0324015512983661,0.2421815472838786,0.125,False,True,48,384,0.5989583333333334,0.5989583333333334,0.5729166666666666,0.6276041666666666,1.0,0.8670247395833333,0.9876489310349842,target_isolation_forest,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.5729166666666666,0.6276041666666666
0.05,0.5816769003968111,3,24,4,32,2,0.0625,0.0173105670316409,0.2014712314415457,0.125,False,True,48,384,0.5052083333333334,0.5052083333333334,0.4791666666666667,0.53125,1.0,0.8245442708333334,0.983297887972965,source_target_isolation_forest,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.4791666666666667,0.53125
0.05,1238.096170587123,3,24,4,32,0,0.0,0.0,0.1071791982550705,0.0,True,True,48,384,0.7005208333333334,0.7005208333333334,0.6536458333333334,0.7526041666666666,1.0,0.9267578125,0.9934386236113,target_min_cov_det,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.6536458333333334,0.7526041666666666
0.05,9802.524118036708,3,24,4,32,1,0.03125,0.0055378601640031,0.1574426382001255,0.125,False,True,48,384,0.3020833333333333,0.3020833333333333,0.2604166666666667,0.3489583333333333,1.0,0.7012532552083334,0.9665885833143883,source_target_min_cov_det,external_dual_three_phase,1,complete_fault_record,"fault_turns (6 strata, 8 records each)",10000,711,0.2604166666666667,0.3489583333333333
