proposed,baseline,external_motor_id,independent_external_motors,paired_fault_records,fault_turn_strata,records_per_stratum,proposed_record_macro_detection,baseline_record_macro_detection,proposed_minus_baseline_detection,paired_bootstrap_ci_lower,paired_bootstrap_ci_upper,bootstrap_probability_proposed_better,records_proposed_better,records_tied,records_baseline_better,proposed_health_false_alarms,baseline_health_false_alarms,health_test_blocks_each,bootstrap_iterations,bootstrap_seed,ci_multiplicity_adjusted
log_euclidean_entity_covariance,target_ledoit,external_dual_three_phase,1,48,6,8,0.25,0.3671875,-0.1171875,-0.13541666666666666,-0.09895833333333333,0.0,0,15,33,1,1,32,10000,711,False
log_euclidean_entity_covariance,target_sample_covariance,external_dual_three_phase,1,48,6,8,0.25,0.5598958333333334,-0.3098958333333333,-0.34375,-0.28125,0.0,0,0,48,1,1,32,10000,711,False
log_euclidean_entity_covariance,source_covariance,external_dual_three_phase,1,48,6,8,0.25,0.12760416666666666,0.12239583333333333,0.08333333333333333,0.1640625,1.0,25,23,0,1,1,32,10000,711,False
log_euclidean_entity_covariance,entity_balanced_covariance,external_dual_three_phase,1,48,6,8,0.25,0.2734375,-0.0234375,-0.036458333333333336,-0.010416666666666666,0.0,2,36,10,1,1,32,10000,711,False
log_euclidean_entity_covariance,target_ocsvm_rbf,external_dual_three_phase,1,48,6,8,0.25,0.12760416666666666,0.12239583333333333,0.0859375,0.1640625,1.0,26,22,0,1,1,32,10000,711,False
log_euclidean_entity_covariance,source_target_ocsvm_rbf,external_dual_three_phase,1,48,6,8,0.25,0.12760416666666666,0.12239583333333333,0.0859375,0.16145833333333334,1.0,25,23,0,1,1,32,10000,711,False
log_euclidean_entity_covariance,target_isolation_forest,external_dual_three_phase,1,48,6,8,0.25,0.5989583333333334,-0.3489583333333333,-0.3802083333333333,-0.3177083333333333,0.0,0,1,47,1,3,32,10000,711,False
log_euclidean_entity_covariance,source_target_isolation_forest,external_dual_three_phase,1,48,6,8,0.25,0.5052083333333334,-0.2552083333333333,-0.2890625,-0.21875,0.0,0,7,41,1,2,32,10000,711,False
log_euclidean_entity_covariance,target_min_cov_det,external_dual_three_phase,1,48,6,8,0.25,0.7005208333333334,-0.4505208333333333,-0.4947916666666667,-0.40625,0.0,0,5,43,1,0,32,10000,711,False
log_euclidean_entity_covariance,source_target_min_cov_det,external_dual_three_phase,1,48,6,8,0.25,0.3020833333333333,-0.052083333333333336,-0.06510416666666667,-0.0390625,0.0,1,26,21,1,1,32,10000,711,False
