record_id,load_nm,fault_turns,fault_phase,blocks,alarms,block_alarm_rate,mean_score,max_score,method,seed
external_dual_three_phase_flt1zu_load_0nm,0.0,1,u,8,4,0.5,0.5661891999091676,0.6072992762764877,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_10nm,10.0,1,u,8,4,0.5,0.5593754474246986,0.5976194795146971,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_15nm,15.0,1,u,8,3,0.375,0.554151206183804,0.5960626486760292,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_20nm,20.0,1,u,8,2,0.25,0.550573790135869,0.586719633338222,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_25nm,25.0,1,u,8,2,0.25,0.548138675857395,0.5762097220820186,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_30nm,30.0,1,u,8,2,0.25,0.5466695435307597,0.5724127733926644,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_35nm,35.0,1,u,8,1,0.125,0.5461895317265407,0.5740239357229426,target_isolation_forest,20260820
external_dual_three_phase_flt1zu_load_5nm,5.0,1,u,8,4,0.5,0.5688058565084694,0.604307601093747,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_0nm,0.0,2,v,8,7,0.875,0.6025887911503274,0.6315435635126436,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_10nm,10.0,2,v,8,5,0.625,0.580332577943311,0.6112354671635589,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_15nm,15.0,2,v,8,4,0.5,0.5745459723175411,0.6097016796051018,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_20nm,20.0,2,v,8,4,0.5,0.5719909983964759,0.6094631275323411,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_25nm,25.0,2,v,8,5,0.625,0.5681012530483069,0.6096736036767468,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_30nm,30.0,2,v,8,4,0.5,0.567080139633734,0.6096131691444894,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_35nm,35.0,2,v,8,3,0.375,0.5648533155500496,0.609267990411901,target_isolation_forest,20260820
external_dual_three_phase_flt2zv_load_5nm,5.0,2,v,8,5,0.625,0.5893329853392801,0.6169237981173464,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_0nm,0.0,3,u,8,6,0.75,0.5874152244962902,0.6063558120595587,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_10nm,10.0,3,u,8,5,0.625,0.5827221596184926,0.6042264285731888,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_15nm,15.0,3,u,8,5,0.625,0.5777039419107155,0.6039468982903483,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_20nm,20.0,3,u,8,4,0.5,0.5752446179574925,0.6037882404305833,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_25nm,25.0,3,u,8,5,0.625,0.5736809198550206,0.6034436638762826,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_30nm,30.0,3,u,8,5,0.625,0.5711503923238495,0.6044716596947475,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_35nm,35.0,3,u,8,5,0.625,0.5690405478794474,0.6035696340644163,target_isolation_forest,20260820
external_dual_three_phase_flt3zu_load_5nm,5.0,3,u,8,6,0.75,0.5893403578397188,0.6097507166544588,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_0nm,0.0,4,v,8,7,0.875,0.6031962149805521,0.6258327051978575,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_10nm,10.0,4,v,8,6,0.75,0.5880321762886581,0.6084962574757249,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_15nm,15.0,4,v,8,6,0.75,0.5846521758090683,0.6069640987980197,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_20nm,20.0,4,v,8,6,0.75,0.5822171472951669,0.6084891408093831,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_25nm,25.0,4,v,8,5,0.625,0.5796750027235993,0.6105599317146853,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_30nm,30.0,4,v,8,5,0.625,0.5777702093355982,0.6100676569962097,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_35nm,35.0,4,v,8,5,0.625,0.5769099202477594,0.612714114088385,target_isolation_forest,20260820
external_dual_three_phase_flt4zv_load_5nm,5.0,4,v,8,6,0.75,0.5991638881962229,0.6201790062451915,target_isolation_forest,20260820
external_dual_three_phase_flt5zu_load_0nm,0.0,5,u,8,6,0.75,0.6017987153741134,0.659773599651225,target_isolation_forest,20260820
external_dual_three_phase_flt5zu_load_10nm,10.0,5,u,8,6,0.75,0.5852745707779705,0.6153017747612776,target_isolation_forest,20260820
external_dual_three_phase_flt5zu_load_15nm,15.0,5,u,8,5,0.625,0.5776462921448918,0.61153258639683,target_isolation_forest,20260820
external_dual_three_phase_flt5zu_load_20nm,20.0,5,u,8,5,0.625,0.5749055568479786,0.6068093617797853,target_isolation_forest,20260820
external_dual_three_phase_flt5zu_load_25nm,25.0,5,u,8,5,0.625,0.5715856861128741,0.5955460269851809,target_isolation_forest,20260820
