method,seed,subsystem,training_scope,training_rows,input_features,retained_features,dropped_features,fit_warning_count,fit_warnings,covariance_rank,covariance_dimension,covariance_condition_number
target_isolation_forest,20260820,SubSys1,target,60,27,27,[],0,,,,
target_isolation_forest,1201,SubSys1,target,60,27,27,[],0,,,,
target_isolation_forest,2402,SubSys1,target,60,27,27,[],0,,,,
target_isolation_forest,3603,SubSys1,target,60,27,27,[],0,,,,
target_isolation_forest,4804,SubSys1,target,60,27,27,[],0,,,,
source_target_isolation_forest,20260820,SubSys1,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,1201,SubSys1,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,2402,SubSys1,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,3603,SubSys1,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,4804,SubSys1,source_target_balanced,240,27,27,[],0,,,,
target_min_cov_det,20260820,SubSys1,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,14097.740611257525
target_min_cov_det,1201,SubSys1,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,11464.697943912022
target_min_cov_det,2402,SubSys1,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,11755.979707154504
target_min_cov_det,3603,SubSys1,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,23090.187701860224
target_min_cov_det,4804,SubSys1,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,13107.884098803046
source_target_min_cov_det,20260820,SubSys1,source_target_balanced,240,27,27,[],0,,27.0,27.0,1183.506668097559
source_target_min_cov_det,1201,SubSys1,source_target_balanced,240,27,27,[],0,,27.0,27.0,1050.8724338506647
source_target_min_cov_det,2402,SubSys1,source_target_balanced,240,27,27,[],0,,27.0,27.0,1117.937930970472
source_target_min_cov_det,3603,SubSys1,source_target_balanced,240,27,27,[],0,,27.0,27.0,1259.3173487551187
source_target_min_cov_det,4804,SubSys1,source_target_balanced,240,27,27,[],0,,27.0,27.0,939.7832591692664
target_isolation_forest,20260820,SubSys2,target,60,27,27,[],0,,,,
target_isolation_forest,1201,SubSys2,target,60,27,27,[],0,,,,
target_isolation_forest,2402,SubSys2,target,60,27,27,[],0,,,,
target_isolation_forest,3603,SubSys2,target,60,27,27,[],0,,,,
target_isolation_forest,4804,SubSys2,target,60,27,27,[],0,,,,
source_target_isolation_forest,20260820,SubSys2,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,1201,SubSys2,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,2402,SubSys2,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,3603,SubSys2,source_target_balanced,240,27,27,[],0,,,,
source_target_isolation_forest,4804,SubSys2,source_target_balanced,240,27,27,[],0,,,,
target_min_cov_det,20260820,SubSys2,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,9799.668004673682
target_min_cov_det,1201,SubSys2,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,10093.552394987482
target_min_cov_det,2402,SubSys2,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,6435.774072517072
target_min_cov_det,3603,SubSys2,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,9226.557435052904
target_min_cov_det,4804,SubSys2,target,60,27,26,['rms_ratio_c'],0,,26.0,26.0,9639.594941120386
source_target_min_cov_det,20260820,SubSys2,source_target_balanced,240,27,27,[],0,,27.0,27.0,1054.0594534191248
source_target_min_cov_det,1201,SubSys2,source_target_balanced,240,27,27,[],0,,27.0,27.0,1143.7472845776495
source_target_min_cov_det,2402,SubSys2,source_target_balanced,240,27,27,[],0,,27.0,27.0,1110.5658957121445
source_target_min_cov_det,3603,SubSys2,source_target_balanced,240,27,27,[],0,,27.0,27.0,1155.0954113810897
source_target_min_cov_det,4804,SubSys2,source_target_balanced,240,27,27,[],0,,27.0,27.0,1040.7969452547459
