method,alpha,threshold,calibration_records,calibration_blocks,health_test_records,health_test_blocks,false_alarms,healthy_block_false_alarm_rate,descriptive_wilson_lower,descriptive_wilson_upper,max_heldout_load_false_alarm_rate,h1_empirical_pass,faults_available,fault_records,fault_blocks,fault_block_detection_rate,fault_record_macro_detection_rate,record_bootstrap_detection_ci_lower,record_bootstrap_detection_ci_upper,fault_record_any_alarm_rate,block_auroc,block_auprc,seed,training_scope,estimator_kind,fit_warning_count,max_covariance_condition_number,post_reveal_robustness_only
target_isolation_forest,0.05,0.569218190283984,3,24,4,32,3,0.09375,0.032401551298366194,0.24218154728387864,0.125,False,True,48,384,0.5989583333333334,0.5989583333333334,0.5729166666666666,0.6276041666666666,1.0,0.8670247395833333,0.9876489310349842,20260820,target,isolation_forest,0,,True
target_isolation_forest,0.05,0.5681287421526724,3,24,4,32,2,0.0625,0.01731056703164098,0.20147123144154577,0.125,False,True,48,384,0.5755208333333334,0.5755208333333334,0.546875,0.6041666666666666,1.0,0.8370768229166666,0.9850373027912167,1201,target,isolation_forest,0,,True
target_isolation_forest,0.05,0.5655104091380757,3,24,4,32,2,0.0625,0.01731056703164098,0.20147123144154577,0.125,False,True,48,384,0.5677083333333334,0.5677083333333334,0.5390625,0.5963541666666666,1.0,0.890625,0.9895837521381294,2402,target,isolation_forest,0,,True
target_isolation_forest,0.05,0.5628582083512773,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.59375,0.59375,0.5598958333333334,0.6276041666666666,1.0,0.8754882812500001,0.9884904091664143,3603,target,isolation_forest,0,,True
target_isolation_forest,0.05,0.5680555832709541,3,24,4,32,1,0.03125,0.005537860164003122,0.15744263820012555,0.125,False,True,48,384,0.5130208333333334,0.5130208333333334,0.4817708333333333,0.546875,1.0,0.8515625,0.9859683918195163,4804,target,isolation_forest,0,,True
source_target_isolation_forest,0.05,0.5816769003968111,3,24,4,32,2,0.0625,0.01731056703164098,0.20147123144154577,0.125,False,True,48,384,0.5052083333333334,0.5052083333333334,0.4791666666666667,0.53125,1.0,0.8245442708333334,0.983297887972965,20260820,source_target_balanced,isolation_forest,0,,True
source_target_isolation_forest,0.05,0.5786606847118789,3,24,4,32,0,0.0,0.0,0.10717919825507058,0.0,True,True,48,384,0.5104166666666666,0.5104166666666666,0.4869791666666667,0.5364583333333334,1.0,0.8062337239583333,0.9821270446280173,1201,source_target_balanced,isolation_forest,0,,True
source_target_isolation_forest,0.05,0.5892754273049233,3,24,4,32,0,0.0,0.0,0.10717919825507058,0.0,True,True,48,384,0.4791666666666667,0.4791666666666667,0.453125,0.5078125,0.9791666666666666,0.85302734375,0.9862754029383621,2402,source_target_balanced,isolation_forest,0,,True
source_target_isolation_forest,0.05,0.5935316490446928,3,24,4,32,3,0.09375,0.032401551298366194,0.24218154728387864,0.125,False,True,48,384,0.5078125,0.5078125,0.484375,0.53125,1.0,0.821044921875,0.983040426666184,3603,source_target_balanced,isolation_forest,0,,True
source_target_isolation_forest,0.05,0.5802345525923445,3,24,4,32,2,0.0625,0.01731056703164098,0.20147123144154577,0.125,False,True,48,384,0.5364583333333334,0.5364583333333334,0.515625,0.5598958333333334,1.0,0.8076985677083333,0.9822511296929218,4804,source_target_balanced,isolation_forest,0,,True
