target_motor,method,feature_arm,alpha,threshold,adaptation_blocks,calibration_blocks,healthy_test_blocks,fault_test_blocks,false_alarms,false_alarm_rate,detected_fault_blocks,detection_rate,lowest_two_severity_detection_rate,block_auroc,block_auprc
1kW,target_ledoit,scale_free,0.05,60.480939257999786,4,20,14,560,1,0.07142857142857142,560,1.0,1.0,1.0,0.9999999999999999
1kW,target_sample_covariance,scale_free,0.05,159.86524266082196,4,20,14,560,0,0.0,559,0.9982142857142857,1.0,1.0,0.9999999999999999
1kW,source_covariance,scale_free,0.05,1490.3395349430748,4,20,14,560,0,0.0,560,1.0,1.0,1.0,0.9999999999999999
1kW,entity_balanced_covariance,scale_free,0.05,104.19818223431571,4,20,14,560,0,0.0,560,1.0,1.0,1.0,0.9999999999999999
1kW,log_euclidean_entity_covariance,scale_free,0.05,210.61816116189362,4,20,14,560,0,0.0,560,1.0,1.0,1.0,0.9999999999999999
1.5kW,target_ledoit,scale_free,0.05,153.62459988951903,4,20,14,560,0,0.0,497,0.8875,1.0,0.9994897959183674,0.9999872334483195
1.5kW,target_sample_covariance,scale_free,0.05,237.36120189902527,4,20,14,560,0,0.0,532,0.95,1.0,0.9983418367346939,0.9999581705569205
1.5kW,source_covariance,scale_free,0.05,396.6768081884252,4,20,14,560,0,0.0,393,0.7017857142857142,1.0,0.9951530612244899,0.9998748665643115
1.5kW,entity_balanced_covariance,scale_free,0.05,152.44277612389652,4,20,14,560,0,0.0,492,0.8785714285714286,1.0,0.9980867346938775,0.999951647394272
1.5kW,log_euclidean_entity_covariance,scale_free,0.05,176.94403430386762,4,20,14,560,0,0.0,504,0.9,1.0,0.9998724489795918,0.9999968169085816
3kW,target_ledoit,scale_free,0.05,107.47948610446606,4,20,14,560,0,0.0,460,0.8214285714285714,1.0,0.9911989795918368,0.9997753374253054
3kW,target_sample_covariance,scale_free,0.05,300.2875372597444,4,20,14,560,0,0.0,486,0.8678571428571429,1.0,0.9965561224489796,0.999913326142538
3kW,source_covariance,scale_free,0.05,485.32792157054473,4,20,14,560,0,0.0,544,0.9714285714285714,1.0,0.9951530612244898,0.9998799072815863
3kW,entity_balanced_covariance,scale_free,0.05,111.87063125508725,4,20,14,560,0,0.0,552,0.9857142857142858,1.0,0.998469387755102,0.9999619888672847
3kW,log_euclidean_entity_covariance,scale_free,0.05,171.94123035607632,4,20,14,560,0,0.0,544,0.9714285714285714,1.0,0.9980867346938775,0.9999527277405276
