target_motor,baseline,proposed_minus_baseline_detection
1.5kW,target_ocsvm_rbf,0.03571428571428572
1kW,target_ocsvm_rbf,0.0
3kW,target_ocsvm_rbf,0.14464285714285713
1.5kW,source_target_ocsvm_rbf,-0.008928571428571421
1kW,source_target_ocsvm_rbf,0.0
3kW,source_target_ocsvm_rbf,0.14285714285714285
1.5kW,target_isolation_forest,-0.05357142857142856
1kW,target_isolation_forest,0.0
3kW,target_isolation_forest,-0.0017857142857142874
1.5kW,source_target_isolation_forest,-0.007142857142857133
1kW,source_target_isolation_forest,0.0
3kW,source_target_isolation_forest,-0.0035714285714285665
1.5kW,target_min_cov_det,0.04642857142857144
1kW,target_min_cov_det,0.0
3kW,target_min_cov_det,0.13035714285714287
1.5kW,source_target_min_cov_det,0.02678571428571429
1kW,source_target_min_cov_det,0.0
3kW,source_target_min_cov_det,0.075
