method,source_dependency,threshold_source_100khz,false_alarms_source_100khz,healthy_block_false_alarm_rate_source_100khz,h1_empirical_pass_source_100khz,fault_block_detection_rate_source_100khz,fault_record_macro_detection_rate_source_100khz,fault_record_any_alarm_rate_source_100khz,block_auroc_source_100khz,block_auprc_source_100khz,threshold_source_10khz,false_alarms_source_10khz,healthy_block_false_alarm_rate_source_10khz,h1_empirical_pass_source_10khz,fault_block_detection_rate_source_10khz,fault_record_macro_detection_rate_source_10khz,fault_record_any_alarm_rate_source_10khz,block_auroc_source_10khz,block_auprc_source_10khz,delta_threshold_10khz_minus_100khz,delta_false_alarms_10khz_minus_100khz,delta_healthy_block_false_alarm_rate_10khz_minus_100khz,delta_fault_block_detection_rate_10khz_minus_100khz,delta_fault_record_macro_detection_rate_10khz_minus_100khz,delta_fault_record_any_alarm_rate_10khz_minus_100khz,delta_block_auroc_10khz_minus_100khz,delta_block_auprc_10khz_minus_100khz
target_ledoit,target_only_invariant_control,183.88696048195305,1,0.03125,False,0.3671875,0.3671875,1.0,0.7674967447916666,0.9746611652216562,183.88696048195305,1,0.03125,False,0.3671875,0.3671875,1.0,0.7674967447916666,0.9746611652216562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_sample_covariance,target_only_invariant_control,738.7026855800124,1,0.03125,False,0.5598958333333334,0.5598958333333334,1.0,0.8756510416666666,0.9882732911382393,738.7026855800124,1,0.03125,False,0.5598958333333334,0.5598958333333334,1.0,0.8756510416666666,0.9882732911382393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_covariance,source_sensitive,109212.27762107668,1,0.03125,False,0.1276041666666666,0.1276041666666666,1.0,0.5747070312499999,0.943515261835812,118120.4699862908,1,0.03125,False,0.125,0.125,1.0,0.549560546875,0.9406494993978504,8908.192365214127,0.0,0.0,-0.002604166666666602,-0.002604166666666602,0.0,-0.02514648437499989,-0.002865762437961661
entity_balanced_covariance,source_sensitive,1250.372244355571,1,0.03125,False,0.2734375,0.2734375,1.0,0.6971842447916666,0.964762958956674,1206.811696551397,2,0.0625,False,0.2526041666666667,0.2526041666666667,1.0,0.6848958333333333,0.962870190710398,-43.56054780417389,1.0,0.03125,-0.020833333333333315,-0.020833333333333315,0.0,-0.01228841145833337,-0.0018927682462759332
log_euclidean_entity_covariance,source_sensitive,4983.287627092597,1,0.03125,False,0.25,0.25,1.0,0.6354166666666666,0.95829837866501,5112.633937635434,1,0.03125,False,0.2473958333333333,0.2473958333333333,1.0,0.6331380208333334,0.9579258978495668,129.34631054283727,0.0,0.0,-0.002604166666666713,-0.002604166666666713,0.0,-0.0022786458333332593,-0.0003724808154431658
target_ocsvm_rbf,target_only_invariant_control,0.4017358142835575,1,0.03125,False,0.1276041666666666,0.1276041666666666,0.875,0.720947265625,0.9621983816309108,0.4017358142835575,1,0.03125,False,0.1276041666666666,0.1276041666666666,0.875,0.720947265625,0.9621983816309108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_target_ocsvm_rbf,source_sensitive,0.8276634174834231,1,0.03125,False,0.1276041666666666,0.1276041666666666,0.9166666666666666,0.6875813802083334,0.9557827377741456,0.8160173691246138,1,0.03125,False,0.125,0.125,0.8958333333333334,0.6976725260416667,0.9567356617579608,-0.011646048358809336,0.0,0.0,-0.002604166666666602,-0.002604166666666602,-0.02083333333333326,0.01009114583333337,0.0009529239838151904
target_isolation_forest,target_only_invariant_control,0.569218190283984,3,0.09375,False,0.5989583333333334,0.5989583333333334,1.0,0.8670247395833333,0.9876489310349842,0.569218190283984,3,0.09375,False,0.5989583333333334,0.5989583333333334,1.0,0.8670247395833333,0.9876489310349842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_target_isolation_forest,source_sensitive,0.5816769003968111,2,0.0625,False,0.5052083333333334,0.5052083333333334,1.0,0.8245442708333334,0.983297887972965,0.5846801996921435,1,0.03125,False,0.5208333333333334,0.5208333333333334,1.0,0.8643391927083334,0.9873883484876056,0.0030032992953323845,-1.0,-0.03125,0.015625,0.015625,0.0,0.039794921875,0.00409046051464057
target_min_cov_det,target_only_invariant_control,1238.096170587123,0,0.0,True,0.7005208333333334,0.7005208333333334,1.0,0.9267578125,0.9934386236113,1238.096170587123,0,0.0,True,0.7005208333333334,0.7005208333333334,1.0,0.9267578125,0.9934386236113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
source_target_min_cov_det,source_sensitive,9802.524118036708,1,0.03125,False,0.3020833333333333,0.3020833333333333,1.0,0.7012532552083334,0.9665885833143883,2094.330686101322,1,0.03125,False,0.2760416666666667,0.2760416666666667,1.0,0.6966145833333333,0.964692309224804,-7708.193431935386,0.0,0.0,-0.02604166666666663,-0.02604166666666663,0.0,-0.004638671875000111,-0.001896274089584371
