method,method_family,detection_source_100khz,detection_source_10khz,delta_detection_10khz_minus_100khz,far_source_100khz,far_source_10khz,delta_far_10khz_minus_100khz,auroc_source_100khz,auroc_source_10khz,delta_auroc_10khz_minus_100khz
entity_balanced_covariance,covariance,0.9547619047619048,0.9071428571428573,-0.04761904761904756,0.0,0.0238095238095238,0.0238095238095238,0.9988520408163264,0.9958333333333332,-0.003018707482993155
log_euclidean_entity_covariance,covariance,0.9571428571428572,0.9196428571428572,-0.03749999999999998,0.0,0.0,0.0,0.9993197278911564,0.99468537414966,-0.004634353741496455
source_covariance,covariance,0.8910714285714286,0.925,0.03392857142857142,0.0,0.0238095238095238,0.0238095238095238,0.9967687074829932,0.9907738095238096,-0.0059948979591836205
target_ledoit,covariance,0.9029761904761904,0.8577380952380952,-0.04523809523809519,0.0238095238095238,0.0238095238095238,0.0,0.9968962585034014,0.9960884353741498,-0.0008078231292515392
target_sample_covariance,covariance,0.9386904761904762,0.894047619047619,-0.044642857142857206,0.0,0.0952380952380952,0.0952380952380952,0.9982993197278912,0.9934098639455784,-0.004889455782312813
source_target_isolation_forest,oneclass,0.9607142857142856,0.9148809523809524,-0.04583333333333328,0.0,0.0238095238095238,0.0238095238095238,0.995408163265306,0.9836309523809524,-0.011777210884353573
source_target_min_cov_det,oneclass,0.923214285714286,0.8988095238095238,-0.02440476190476215,0.0238095238095238,0.0238095238095238,0.0,0.9895833333333334,0.9930272108843538,0.00344387755102038
source_target_ocsvm_rbf,oneclass,0.9125,0.8964285714285716,-0.016071428571428403,0.0,0.0,0.0,0.9965986394557822,0.9952380952380953,-0.0013605442176869431
target_isolation_forest,oneclass,0.9755952380952382,0.9648809523809524,-0.010714285714285787,0.0238095238095238,0.119047619047619,0.0952380952380952,0.9942176870748298,0.974829931972789,-0.019387755102040827
target_min_cov_det,oneclass,0.898214285714286,0.8660714285714284,-0.032142857142857584,0.0238095238095238,0.0476190476190476,0.0238095238095238,0.996641156462585,0.9820153061224492,-0.014625850340135749
target_ocsvm_rbf,oneclass,0.8970238095238094,0.8565476190476191,-0.04047619047619033,0.0,0.0,0.0,0.997874149659864,0.9954931972789116,-0.0023809523809523725
