record_id,load_nm,fault_turns,fault_phase,block_alarm_rate_source_100khz,alarms_source_100khz,mean_score_source_100khz,max_score_source_100khz,block_alarm_rate_source_10khz,alarms_source_10khz,mean_score_source_10khz,max_score_source_10khz,delta_block_alarm_rate_10khz_minus_100khz
external_dual_three_phase_flt1zu_load_0nm,0.0,1,u,0.25,2,3811.625518744502,14071.603798727188,0.25,2,3792.9230322836,14272.773532489622,0.0
external_dual_three_phase_flt1zu_load_10nm,10.0,1,u,0.125,1,1857.285464489224,7193.085065439625,0.125,1,1764.2815893667334,7318.93475770574,0.0
external_dual_three_phase_flt1zu_load_15nm,15.0,1,u,0.125,1,1656.783773460621,6142.647324267359,0.125,1,1550.0541917244568,6244.583871737987,0.0
external_dual_three_phase_flt1zu_load_20nm,20.0,1,u,0.125,1,1563.5086308403954,5618.918188156869,0.125,1,1452.0988281683324,5716.92087173108,0.0
external_dual_three_phase_flt1zu_load_25nm,25.0,1,u,0.125,1,1523.3551486463257,5377.3716894525605,0.125,1,1409.57831000087,5471.581788182954,0.0
external_dual_three_phase_flt1zu_load_30nm,30.0,1,u,0.125,1,1509.1650403937258,5237.317853560116,0.125,1,1393.9438541567567,5331.7129257514,0.0
external_dual_three_phase_flt1zu_load_35nm,35.0,1,u,0.125,1,1495.2989325797168,5135.348596118523,0.125,1,1378.3645140142196,5232.117094435146,0.0
external_dual_three_phase_flt1zu_load_5nm,5.0,1,u,0.25,2,2751.429369263061,11059.851356135494,0.25,2,2679.752109581771,11215.757073207984,0.0
external_dual_three_phase_flt2zv_load_0nm,0.0,2,v,0.625,5,10275.168368752067,21079.69216481857,0.625,5,10236.649452618643,21176.539208858056,0.0
external_dual_three_phase_flt2zv_load_10nm,10.0,2,v,0.125,1,2567.4647090950107,8430.498220153455,0.125,1,2420.0532674067854,8277.873660723333,0.0
external_dual_three_phase_flt2zv_load_15nm,15.0,2,v,0.125,1,2211.3077410990795,7492.214016727533,0.125,1,2084.8006750189106,7472.126477714111,0.0
external_dual_three_phase_flt2zv_load_20nm,20.0,2,v,0.125,1,2023.2333525183576,6990.415314186241,0.125,1,1905.9222427713976,7038.744604844177,0.0
external_dual_three_phase_flt2zv_load_25nm,25.0,2,v,0.125,1,1911.0267240260184,6691.300749665164,0.125,1,1796.5085532053745,6777.922608414227,0.0
external_dual_three_phase_flt2zv_load_30nm,30.0,2,v,0.125,1,1831.9941440455364,6378.891190582214,0.125,1,1717.6320123882122,6484.09644374248,0.0
external_dual_three_phase_flt2zv_load_35nm,35.0,2,v,0.125,1,1794.9265766910285,6270.884952146452,0.125,1,1680.9240191231677,6393.5591280839535,0.0
external_dual_three_phase_flt2zv_load_5nm,5.0,2,v,0.25,2,3516.9123808921117,10524.096275105285,0.25,2,3324.1411516285752,10135.920130218852,0.0
external_dual_three_phase_flt3zu_load_0nm,0.0,3,u,0.625,5,14607.383575388692,35090.04585261448,0.625,5,15119.535211260256,36659.12644194254,0.0
external_dual_three_phase_flt3zu_load_10nm,10.0,3,u,0.375,3,4509.263434467571,16722.929111199966,0.375,3,4494.701745449947,17033.10581752103,0.0
external_dual_three_phase_flt3zu_load_15nm,15.0,3,u,0.25,2,3431.731364506055,13079.104764994852,0.25,2,3385.5905863909243,13316.105882739908,0.0
external_dual_three_phase_flt3zu_load_20nm,20.0,3,u,0.25,2,2866.485936357322,11015.05144936789,0.25,2,2805.220725668925,11222.601265877764,0.0
external_dual_three_phase_flt3zu_load_25nm,25.0,3,u,0.125,1,2455.21871062538,9581.546945345155,0.125,1,2388.463910389401,9777.080009746129,0.0
external_dual_three_phase_flt3zu_load_30nm,30.0,3,u,0.125,1,2244.224838490278,8726.330154097215,0.125,1,2171.3648439168574,8915.532924065346,0.0
external_dual_three_phase_flt3zu_load_35nm,35.0,3,u,0.125,1,2018.8552288951648,7885.695925708655,0.125,1,1943.6227536045908,8074.73814094218,0.0
external_dual_three_phase_flt3zu_load_5nm,5.0,3,u,0.375,3,7273.079629603747,24605.401987783454,0.375,3,7329.716089983316,25100.23403919208,0.0
external_dual_three_phase_flt4zv_load_0nm,0.0,4,v,0.625,5,8761.61451374359,16056.932698497638,0.625,5,8525.556803860447,16013.716202991302,0.0
external_dual_three_phase_flt4zv_load_10nm,10.0,4,v,0.25,2,2918.9123603826315,9047.30380533962,0.125,1,2684.7623087904985,8577.857776789075,-0.125
external_dual_three_phase_flt4zv_load_15nm,15.0,4,v,0.125,1,2554.9056395924545,8325.506932522754,0.125,1,2378.906360461014,8080.623088690329,0.0
external_dual_three_phase_flt4zv_load_20nm,20.0,4,v,0.125,1,2372.65204239528,7883.402365961719,0.125,1,2223.084261913656,7773.009897164819,0.0
external_dual_three_phase_flt4zv_load_25nm,25.0,4,v,0.125,1,2241.0898709694216,7660.49004894865,0.125,1,2109.5097017514167,7628.674351875971,0.0
external_dual_three_phase_flt4zv_load_30nm,30.0,4,v,0.125,1,2187.6762862145365,7533.566701766351,0.125,1,2064.919486735031,7555.8636827180735,0.0
external_dual_three_phase_flt4zv_load_35nm,35.0,4,v,0.125,1,2130.857788562972,7333.019629205017,0.125,1,2014.40528459408,7397.546738508024,0.0
external_dual_three_phase_flt4zv_load_5nm,5.0,4,v,0.25,2,3974.502571870546,11454.224109100123,0.25,2,3610.561019933575,10584.190650573582,0.0
external_dual_three_phase_flt5zu_load_0nm,0.0,5,u,0.625,5,16201.082398921357,34139.45791590328,0.625,5,16777.019058971244,35886.5023988528,0.0
external_dual_three_phase_flt5zu_load_10nm,10.0,5,u,0.375,3,4654.702531456471,14927.034111210873,0.375,3,4601.155914806594,15256.002124355768,0.0
external_dual_three_phase_flt5zu_load_15nm,15.0,5,u,0.25,2,3630.22561066113,12298.580332355516,0.25,2,3545.718558346142,12515.538665745824,0.0
external_dual_three_phase_flt5zu_load_20nm,20.0,5,u,0.25,2,3063.2652260931995,10727.427668579743,0.25,2,2960.704298195485,10886.985607848164,0.0
external_dual_three_phase_flt5zu_load_25nm,25.0,5,u,0.25,2,2749.38940999899,9781.55081053743,0.25,2,2643.6321596593407,9915.0993250361,0.0
external_dual_three_phase_flt5zu_load_30nm,30.0,5,u,0.125,1,2534.004385595316,9236.571276397495,0.125,1,2427.9856206283102,9361.499599132423,0.0
external_dual_three_phase_flt5zu_load_35nm,35.0,5,u,0.125,1,2284.489059514549,8069.58998951554,0.125,1,2180.2159818901814,8181.4117914721455,0.0
external_dual_three_phase_flt5zu_load_5nm,5.0,5,u,0.5,4,7983.63796008717,25615.368241352247,0.5,4,8029.877126945588,26268.37692850058,0.0
external_dual_three_phase_flt6zu_load_0nm,0.0,6,u,0.625,5,16243.797075700388,31962.921791355297,0.625,5,16911.715069958085,33704.15402520216,0.0
external_dual_three_phase_flt6zu_load_10nm,10.0,6,u,0.375,3,4877.36259279923,15284.187114685892,0.375,3,4830.187074600422,15628.92847821632,0.0
external_dual_three_phase_flt6zu_load_15nm,15.0,6,u,0.25,2,3820.319770781435,12711.348574499496,0.25,2,3738.817571419343,12940.983847350366,0.0
external_dual_three_phase_flt6zu_load_20nm,20.0,6,u,0.25,2,3205.423786585302,11104.817600101169,0.25,2,3105.8795230895084,11278.992516783774,0.0
external_dual_three_phase_flt6zu_load_25nm,25.0,6,u,0.25,2,2859.248994620259,10178.581253574595,0.25,2,2753.3307383277897,10321.320012002332,0.0
external_dual_three_phase_flt6zu_load_30nm,30.0,6,u,0.25,2,2645.2130131160407,9463.362896174742,0.25,2,2537.5275003307065,9589.542607965725,0.0
external_dual_three_phase_flt6zu_load_35nm,35.0,6,u,0.125,1,2373.9280852488478,8339.401607931946,0.125,1,2268.278801490943,8453.899523013379,0.0
external_dual_three_phase_flt6zu_load_5nm,5.0,6,u,0.5,4,8529.608960535334,27246.693483267103,0.5,4,8589.326685595486,27954.774115515556,0.0
