record_id,filename,motor_id,motor_watts,condition,setpoint_rad_s,fault_turns,winding_turns,nominal_severity,fault_phase,samples,duration_seconds,sample_rate_hz,fault_onset_index,fault_onset_seconds,baseline_stop_index,baseline_median_fault_current_rms,baseline_robust_sigma_fault_current_rms,peak_fault_current_rms,fault_current_onset_threshold,pre_fault_windows,post_fault_windows_up_to_2s,primary_post_windows_required,main_endpoint_compatible,electrical_speed_rad_s_at_onset_qc,property_paths
200W_load_transient_1000_4turn,load_transient_1000_4turns.mat,200W,200,load_transient,1000,4,25,0.16,a,120001,12.0001,10000.000000023307,34114,3.4114,5000,0.0881692260900689,0.009425411057964116,12.8405899731286,0.256811799462572,16,10,5,True,991.0572509765625,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_load_transient_1200_2turn,load_transient_1200_2turns.mat,200W,200,load_transient,1200,2,25,0.08,a,120001,12.0001,10000.000000023307,33954,3.3954,5000,0.08700150844589834,0.008844043998377927,10.64339819721108,0.2128679639442216,15,10,5,True,1189.7406005859375,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_load_transient_1200_4turn,load_transient_1200_4turns.mat,200W,200,load_transient,1200,4,25,0.16,a,120001,12.0001,10000.000000023307,33735,3.3735,5000,0.08775841494747734,0.009128517716882062,14.879037262340328,0.29758074524680656,15,10,5,True,1183.177001953125,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_load_transient_1200_6turn,load_transient_1200_6turns.mat,200W,200,load_transient,1200,6,25,0.24,a,120001,12.0001,10000.000000023307,34530,3.4530000000000003,5000,0.08803009432770457,0.007820529106299452,15.304081645843304,0.3060816329168661,16,10,5,True,1190.4029541015625,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_steady_state_1000_4turn,steady_state_1000_4turns.mat,200W,200,steady_state,1000,4,25,0.16,a,120001,12.0001,10000.000000023307,40562,4.0562000000000005,5000,0.08680038491306352,0.010607135253781775,11.909650946170137,0.23819301892340275,19,10,5,True,997.0982666015625,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_steady_state_1200_2turn,steady_state_1200_2turns.mat,200W,200,steady_state,1200,2,25,0.08,a,120001,12.0001,10000.000000023307,37529,3.7529000000000003,5000,0.08983804034499333,0.010271155320124396,6.9504526105025795,0.1925495935462373,17,10,5,True,1200.9383544921875,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_steady_state_1200_4turn,steady_state_1200_4turns.mat,200W,200,steady_state,1200,4,25,0.16,a,120001,12.0001,10000.000000023307,32804,3.2804,5000,0.08922894658832098,0.00850313727380251,12.068642347616475,0.2413728469523295,15,10,5,True,1201.034423828125,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_steady_state_1200_6turn,steady_state_1200_6turns.mat,200W,200,steady_state,1200,6,25,0.24,a,120001,12.0001,10000.000000023307,24800,2.48,5000,0.09020695994814305,0.010393455463790441,11.57393398023176,0.2314786796046352,11,10,5,True,1199.335205078125,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_velocity_transient_1000_4turn,velocity_transient_1000_4turns.mat,200W,200,velocity_transient,1000,4,25,0.16,a,120001,12.0001,10000.000000023307,47127,4.7127,5000,0.08728514880687334,0.009739635225963451,17.405390792395405,0.3481078158479081,22,10,5,True,1117.9554443359375,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
200W_velocity_transient_1200_2turn,velocity_transient_1200_2turns.mat,200W,200,velocity_transient,1200,2,25,0.08,a,120001,12.0001,10000.000000023307,23459,2.3459000000000003,5000,0.09004961334614828,0.010055858717356808,9.88767032109903,0.1977534064219806,10,10,5,True,1102.3173828125,"{""ialbt_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""if_meas"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}, ""we"": {""data"": ""Data_"", ""time"": ""TimeInfo/Start_+Increment_+Length""}}"
