"record_id","filename","motor_id","motor_watts","condition","setpoint_rad_s","fault_turns","winding_turns","nominal_severity","fault_phase","parser_compatible","main_endpoint_compatible","incompatible_reason"
"200W_load_transient_1000_4turn","load_transient_1000_4turns.mat","200W","200","load_transient","1000","4","25","0.16","a","True","True",""
"200W_load_transient_1200_2turn","load_transient_1200_2turns.mat","200W","200","load_transient","1200","2","25","0.08","a","True","True",""
"200W_load_transient_1200_4turn","load_transient_1200_4turns.mat","200W","200","load_transient","1200","4","25","0.16","a","True","True",""
"200W_load_transient_1200_6turn","load_transient_1200_6turns.mat","200W","200","load_transient","1200","6","25","0.24","a","True","True",""
"200W_steady_state_1000_4turn","steady_state_1000_4turns.mat","200W","200","steady_state","1000","4","25","0.16","a","True","True",""
"200W_steady_state_1200_2turn","steady_state_1200_2turns.mat","200W","200","steady_state","1200","2","25","0.08","a","True","True",""
"200W_steady_state_1200_4turn","steady_state_1200_4turns.mat","200W","200","steady_state","1200","4","25","0.16","a","True","True",""
"200W_steady_state_1200_6turn","steady_state_1200_6turns.mat","200W","200","steady_state","1200","6","25","0.24","a","True","True",""
"200W_velocity_transient_1000_4turn","velocity_transient_1000_4turns.mat","200W","200","velocity_transient","1000","4","25","0.16","a","True","True",""
"200W_velocity_transient_1200_2turn","velocity_transient_1200_2turns.mat","200W","200","velocity_transient","1200","2","25","0.08","a","True","True",""
"200W_velocity_transient_1200_4turn","velocity_transient_1200_4turns.mat","200W","200","velocity_transient","1200","4","25","0.16","a","True","True",""
"200W_velocity_transient_1200_6turn","velocity_transient_1200_6turns.mat","200W","200","velocity_transient","1200","6","25","0.24","a","True","True",""
